Review,Sentiment
battery DRAIN FASTER expect HAPPY,NEGATIVE
illustration book STUN ADD story,POSITIVE
smartwatch syncs SEAMLESSLY phone CONVENIENT,POSITIVE
poetry collection BEAUTIFULLY write EMOTIONAL,POSITIVE
LAPTOP boot INCREDIBLY FAST PERFECT WORK,POSITIVE
storage unit STURDY plenty space,NEGATIVE
EXTERNAL HARD drive COMPACT store lot data,NEGATIVE
hoodie shrunk DRASTICALLY WASH HAPPY,NEGATIVE
device overheats OFTEN FRUSTRATE,NEGATIVE
photography GUIDE PRACTICAL EASY understand,POSITIVE
feature DECENT build quality feel CHEAP,POSITIVE
battery life MUCH BAD ADVERTISE DISAPPOINTING,POSITIVE
bookshelf MODERN design fit book,NEGATIVE
design SLEEK LACK IMPORTANT feature,NEGATIVE
GREAT value price SOLID build FAST performance,POSITIVE
keyboard feel CHEAP ISNT RESPONSIVE,NEGATIVE
science book explain CONCEPTS SIMPLE CLEAR way,POSITIVE
CHARGE cable MISS box POOR quality control,POSITIVE
blazer WELLTAILORED PERFECT FORMAL occasion,POSITIVE
curtain COMPLETELY block LIGHT PERFECT SLEEP,NEGATIVE
jean STYLISH run SMALL expect,NEGATIVE
SCREEN resolution SHARP VIBRANT,POSITIVE
textbook COMPREHENSIVE cover SUBJECT detail,NEGATIVE
vacuum CLEAN LOSE suction power QUICKLY FRUSTRATE,NEGATIVE
OKAY WELL alternative price,NEGATIVE
memoir HONEST RAW deeply MOVE,POSITIVE
fabric hoodie feel CHEAP UNCOMFORTABLE,POSITIVE
GAME CONSOLE TOPNOTCH graphic gameplay,POSITIVE
recipe cookbook complicate IMPRACTICAL,NEUTRAL
dress okay doesnt look GOOD picture,NEGATIVE
hoodie SOFT MODERN design,POSITIVE
color curtain FADE one wash,NEGATIVE
im IMPRESSED durability phone case,NEGATIVE
sweater START PILLING week use,NEGATIVE
winter coat WARM look AMAZING,NEGATIVE
toaster make PERFECT GOLDENBROWN toast every time,POSITIVE
DIN TABLE STURDY BEAUTIFUL finish,POSITIVE
sweater feel LUXURIOUS INCREDIBLY COZY,POSITIVE
COUCH COMFORTABLE STYLISH GREAT addition,POSITIVE
scarf PERFECT addition winter wardrobe,POSITIVE
NOVEL INTERESTING premise POOR execution,POSITIVE
design SLEEK performance underwhelming,NEGATIVE
MYSTERY novel KEEP hook LAST page,POSITIVE
heater consumes MUCH energy MIXED bag,NEGATIVE
lamp ELEGANT design COMPLEMENT room,NEGATIVE
NOVEL BEAUTIFULLY write THOUGHTPROVOKING,POSITIVE
camera quality drone professionalgrade,NEGATIVE
DIN set ARRIVED SCRATCH surface,POSITIVE
HAT LIGHTWEIGHT shield SUN WELL,POSITIVE
illustration NICE story FALL FLAT,NEGATIVE
FABRIC sofa START PEEL month,POSITIVE
blouse ELEGANT fit LIKE glove,POSITIVE
projector produce BRIGHT CLEAR image EVEN DAYLIGHT,POSITIVE
STOP WORK week REALLY DISAPPOINTED,NEGATIVE
RUN shoe PERFECT DAILY workout,POSITIVE
cookware set heat EVENLY EASY CLEAN,NEGATIVE
sock SOFT DURABLE PERFECT DAILY wear,POSITIVE
monitor SIGNIFICANT backlight BLEED ANNOY use,NEGATIVE
trench coat timeless piece LOVE,POSITIVE
selfhelp book TRULY INSPIRING motivating,NEGATIVE
lawn mower cut grass EVENLY EASY operate,NEGATIVE
kitchen knives SHARP cut anything EASE,NEGATIVE
sweater COZY PERFECT COLD weather,NEGATIVE
GRAPHIC novel BEAUTIFUL artwork ENGAGE story,NEGATIVE
mattress SOFT SINK middle,NEGATIVE
sock BREATHABLE PERFECT RUN,POSITIVE
cookbook EASYTOFOLLOW recipe taste AMAZE,POSITIVE
OVERALL gadget WORTH every penny utility,POSITIVE
dress material feel CHEAP UNCOMFORTABLE,NEGATIVE
COOKWARE FUNCTIONAL DURABLE LONG run,POSITIVE
camera overheats QUICKLY UNUSABLE LONG session,NEGATIVE
character POORLY DEVELOP HARD connect,NEGATIVE
power bank LIFESAVER trip HIGHLY RECOMMEND,NEGATIVE
air PURIFIER LOUDER EXPECT DISRUPT sleep,NEGATIVE
art book FULL STUNNING visuals insight,POSITIVE
air purifier MAKE NOTICEABLE difference air quality,POSITIVE
travel guide OUTDATED HELPFUL,NEGATIVE
smartwatch SLEEK design GREAT feature fitness TRACK,POSITIVE
sofa INCREDIBLY COMFORTABLE look GREAT LIVING room,NEGATIVE
shirt UNIQUE design feel COMFORTABLE,NEGATIVE
sweater shrunk FIRST wash IMPRESSED,NEGATIVE
charger COMPACT charge device SUPER FAST,POSITIVE
poetry okay doesnt EVOKE MUCH emotion,NEGATIVE
mattress firm UNCOMFORTABLE sleep,NEGATIVE
bookshelf DECENT COME MISS screw,NEGATIVE
turtleneck sweater SOFT feel LUXURIOUS,NEGATIVE
