Review,Processed_Review,Sentiment,rating/5
The battery drains faster than expected. Not happy.,battery DRAIN FASTER expect HAPPY,NEGATIVE,3.5
The illustrations in this book are stunning and add to the story.,illustration book STUN ADD story,POSITIVE,5.0
The smartwatch syncs seamlessly with my phone. Very convenient.,smartwatch syncs SEAMLESSLY phone CONVENIENT,POSITIVE,3.0
This poetry collection is beautifully written and very emotional.,poetry collection BEAUTIFULLY write EMOTIONAL,POSITIVE,3.0
This laptop boots up incredibly fast and is perfect for work.,LAPTOP boot INCREDIBLY FAST PERFECT WORK,POSITIVE,5.0
This storage unit is sturdy and has plenty of space.,storage unit STURDY plenty space,NEGATIVE,4.5
This external hard drive is compact and stores a lot of data.,EXTERNAL HARD drive COMPACT store lot data,NEGATIVE,4.5
The hoodie shrunk drastically after washing. Not happy.,hoodie shrunk DRASTICALLY WASH HAPPY,NEGATIVE,3.5
"The device overheats too often, which is frustrating.",device overheats OFTEN FRUSTRATE,NEGATIVE,2.0
The photography guide is practical and easy to understand.,photography GUIDE PRACTICAL EASY understand,POSITIVE,4.0
"The features are decent, but the build quality feels cheap.",feature DECENT build quality feel CHEAP,POSITIVE,2.5
The battery life is much worse than advertised. Disappointing.,battery life MUCH BAD ADVERTISE DISAPPOINTING,POSITIVE,0.5
This bookshelf has a modern design and fits all my books.,bookshelf MODERN design fit book,NEGATIVE,5.0
"The design is sleek, but it lacks important features.",design SLEEK LACK IMPORTANT feature,NEGATIVE,4.5
Great value for the price! Solid build and fast performance.,GREAT value price SOLID build FAST performance,POSITIVE,5.0
The keyboard feels cheap and isn’t responsive at all.,keyboard feel CHEAP ISNT RESPONSIVE,NEGATIVE,3.0
"The science book explains concepts in a simple, clear way.",science book explain CONCEPTS SIMPLE CLEAR way,POSITIVE,4.5
Charging cable was missing from the box. Poor quality control.,CHARGE cable MISS box POOR quality control,POSITIVE,0.5
The blazer is well-tailored and perfect for formal occasions.,blazer WELLTAILORED PERFECT FORMAL occasion,POSITIVE,5.0
"These curtains completely block out light, which is perfect for sleeping.",curtain COMPLETELY block LIGHT PERFECT SLEEP,NEGATIVE,5.0
The jeans are stylish but run smaller than expected.,jean STYLISH run SMALL expect,NEGATIVE,1.5
The screen resolution is sharp and vibrant.,SCREEN resolution SHARP VIBRANT,POSITIVE,4.0
The textbook is comprehensive and covers the subject in detail.,textbook COMPREHENSIVE cover SUBJECT detail,NEGATIVE,3.5
The vacuum cleaner loses suction power quickly. Frustrating.,vacuum CLEAN LOSE suction power QUICKLY FRUSTRATE,NEGATIVE,3.0
"It’s okay, but there are better alternatives at this price.",OKAY WELL alternative price,NEGATIVE,1.5
"This memoir is honest, raw, and deeply moving.",memoir HONEST RAW deeply MOVE,POSITIVE,4.5
The fabric of the hoodie feels cheap and uncomfortable.,fabric hoodie feel CHEAP UNCOMFORTABLE,POSITIVE,0.5
The gaming console has top-notch graphics and gameplay.,GAME CONSOLE TOPNOTCH graphic gameplay,POSITIVE,4.5
The recipes in this cookbook are too complicated and impractical.,recipe cookbook complicate IMPRACTICAL,NEUTRAL,4.0
The dress is okay but doesn’t look as good as in the pictures.,dress okay doesnt look GOOD picture,NEGATIVE,2.0
This hoodie is soft and has a modern design.,hoodie SOFT MODERN design,POSITIVE,5.0
The color of the curtains faded after one wash.,color curtain FADE one wash,NEGATIVE,2.5
I’m impressed with the durability of this phone case.,im IMPRESSED durability phone case,NEGATIVE,1.0
The sweater started pilling after a week of use.,sweater START PILLING week use,NEGATIVE,4.0
The winter coat is warm and looks amazing!,winter coat WARM look AMAZING,NEGATIVE,4.5
The toaster makes perfect golden-brown toast every time.,toaster make PERFECT GOLDENBROWN toast every time,POSITIVE,5.0
The dining table is sturdy and has a beautiful finish.,DIN TABLE STURDY BEAUTIFUL finish,POSITIVE,4.0
This sweater feels luxurious and is incredibly cozy.,sweater feel LUXURIOUS INCREDIBLY COZY,POSITIVE,5.0
This couch is both comfortable and stylish. Great addition!,COUCH COMFORTABLE STYLISH GREAT addition,POSITIVE,5.0
This scarf is the perfect addition to my winter wardrobe.,scarf PERFECT addition winter wardrobe,POSITIVE,5.0
The novel has an interesting premise but poor execution.,NOVEL INTERESTING premise POOR execution,POSITIVE,0.5
"The design is sleek, but the performance is underwhelming.",design SLEEK performance underwhelming,NEGATIVE,0.5
This mystery novel kept me hooked until the last page.,MYSTERY novel KEEP hook LAST page,POSITIVE,4.5
The heater consumes too much energy. A mixed bag.,heater consumes MUCH energy MIXED bag,NEGATIVE,5.0
The lamp has an elegant design that complements my room.,lamp ELEGANT design COMPLEMENT room,NEGATIVE,5.0
The novel is beautifully written and very thought-provoking.,NOVEL BEAUTIFULLY write THOUGHTPROVOKING,POSITIVE,2.0
The camera quality of this drone is professional-grade.,camera quality drone professionalgrade,NEGATIVE,4.5
The dining set arrived with scratches on the surface.,DIN set ARRIVED SCRATCH surface,POSITIVE,1.5
The hat is lightweight and shields from the sun well.,HAT LIGHTWEIGHT shield SUN WELL,POSITIVE,4.5
"The illustrations are nice, but the story falls flat.",illustration NICE story FALL FLAT,NEGATIVE,4.5
The fabric on the sofa started peeling after a month.,FABRIC sofa START PEEL month,POSITIVE,4.0
The blouse is elegant and fits like a glove.,blouse ELEGANT fit LIKE glove,POSITIVE,5.0
The projector produces a bright and clear image even in daylight.,projector produce BRIGHT CLEAR image EVEN DAYLIGHT,POSITIVE,2.0
It stopped working after just a week. Really disappointed.,STOP WORK week REALLY DISAPPOINTED,NEGATIVE,3.0
These running shoes are perfect for my daily workouts.,RUN shoe PERFECT DAILY workout,POSITIVE,5.0
The cookware set heats evenly and is easy to clean.,cookware set heat EVENLY EASY CLEAN,NEGATIVE,5.0
"The socks are soft and durable, perfect for daily wear.",sock SOFT DURABLE PERFECT DAILY wear,POSITIVE,5.0
The monitor has significant backlight bleeding. Annoying to use.,monitor SIGNIFICANT backlight BLEED ANNOY use,NEGATIVE,2.0
The trench coat is a timeless piece that I love.,trench coat timeless piece LOVE,POSITIVE,4.5
This self-help book is truly inspiring and motivating.,selfhelp book TRULY INSPIRING motivating,NEGATIVE,4.5
The lawn mower cuts grass evenly and is easy to operate.,lawn mower cut grass EVENLY EASY operate,NEGATIVE,4.0
The kitchen knives are sharp and cut through anything with ease.,kitchen knives SHARP cut anything EASE,NEGATIVE,5.0
The sweater is cozy and perfect for the cold weather.,sweater COZY PERFECT COLD weather,NEGATIVE,5.0
This graphic novel has beautiful artwork and an engaging story.,GRAPHIC novel BEAUTIFUL artwork ENGAGE story,NEGATIVE,4.5
The mattress is too soft and sinks in the middle.,mattress SOFT SINK middle,NEGATIVE,4.0
The socks are breathable and perfect for running.,sock BREATHABLE PERFECT RUN,POSITIVE,5.0
This cookbook has easy-to-follow recipes that taste amazing.,cookbook EASYTOFOLLOW recipe taste AMAZE,POSITIVE,5.0
"Overall, this gadget is worth every penny for its utility.",OVERALL gadget WORTH every penny utility,POSITIVE,5.0
The dress material feels cheap and uncomfortable.,dress material feel CHEAP UNCOMFORTABLE,NEGATIVE,0.5
The cookware is functional but not durable in the long run.,COOKWARE FUNCTIONAL DURABLE LONG run,POSITIVE,1.5
The camera overheats too quickly. Unusable for long sessions.,camera overheats QUICKLY UNUSABLE LONG session,NEGATIVE,2.0
The characters are poorly developed and hard to connect with.,character POORLY DEVELOP HARD connect,NEGATIVE,0.5
This power bank is a lifesaver during trips. Highly recommended!,power bank LIFESAVER trip HIGHLY RECOMMEND,NEGATIVE,4.5
"The air purifier is louder than expected, disrupting sleep.",air PURIFIER LOUDER EXPECT DISRUPT sleep,NEGATIVE,1.5
The art book is full of stunning visuals and insights.,art book FULL STUNNING visuals insight,POSITIVE,4.5
The air purifier has made a noticeable difference in air quality.,air purifier MAKE NOTICEABLE difference air quality,POSITIVE,4.0
The travel guide is outdated and not very helpful.,travel guide OUTDATED HELPFUL,NEGATIVE,3.0
This smartwatch has a sleek design and great features for fitness tracking.,smartwatch SLEEK design GREAT feature fitness TRACK,POSITIVE,5.0
This sofa is incredibly comfortable and looks great in my living room.,sofa INCREDIBLY COMFORTABLE look GREAT LIVING room,NEGATIVE,5.0
